Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
5,crd,den,1,332.48,332.5,13.600000000000001,1210,307,7,0,0
6,crd,was,0,425.76,425.8,16.8,1545,379,11,1,1
7,crd,rai,1,527.5699999999999,527.6,20.1,1709,435,11,2,1
8,crd,phi,0,617.8499999999999,617.9,23.200000000000003,2120,545,14,3,1
9,crd,dal,1,720.06,720.1,26.700000000000003,2294,637,16,4,1
10,crd,ram,0,808.2199999999999,808.3000000000001,28.000000000000004,2468,707,19,5,1
11,crd,det,0,899.6299999999999,899.7,29.800000000000004,2632,805,20,6,1
12,crd,sea,1,952.9999999999999,953.1,33.00000000000001,2801,929,20,0,0
13,crd,atl,1,1024.9599999999998,1025.1,36.20000000000001,3159,1071,21,0,0
14,crd,kan,0,1111.0699999999997,1111.1999999999998,40.50000000000001,3423,1197,23,1,1
15,crd,ram,1,1175.7899999999997,1175.8999999999999,44.800000000000004,3634,1266,25,2,1
16,crd,sea,0,1219.2599999999998,1219.3999999999999,46.7,3963,1533,25,0,0
17,crd,sfo,1,1285.8199999999997,1285.9999999999998,50.6,4152,1739,25,0,0
4,atl,min,1,407.09000000000003,400.2,19.6,1105,614,7,0,0
5,atl,nyg,1,489.45000000000005,482.6,23.900000000000002,1298,738,9,0,0
6,atl,chi,0,559.6600000000001,552.8000000000001,27.1,1673,841,9,0,0
7,atl,rav,1,641.8600000000001,635.0000000000001,31.400000000000002,1921,964,12,0,0
8,atl,det,0,747.8000000000002,740.9000000000001,34.400000000000006,2246,1024,13,0,0
10,atl,tam,1,842.8900000000002,836.0000000000001,38.300000000000004,2527,1116,16,1,1
11,atl,car,1,933.8600000000002,927.0000000000001,41.50000000000001,2812,1222,18,2,1
12,atl,cle,0,1018.5000000000002,1011.6000000000001,44.20000000000001,3125,1384,21,0,0
13,atl,crd,0,1124.0400000000002,1117.1000000000001,48.40000000000001,3419,1419,24,1,1
14,atl,gnb,1,1240.8700000000001,1233.9,52.20000000000001,3742,1598,24,0,0
15,atl,pit,0,1343.18,1336.2,57.10000000000001,4095,1643,24,0,0
16,atl,nor,1,1449.64,1442.7,60.80000000000001,4366,1700,28,1,1
17,atl,car,0,1505.3600000000001,1498.4,64.70000000000002,4478,1894,28,0,0
4,rav,car,0,396.23,396.19999999999993,18.1,1041,330,4,3,1
5,rav,clt,1,457.19,457.19999999999993,24.1,1346,457,8,0,0
6,rav,tam,1,626.8299999999999,606.8999999999999,28.900000000000002,1623,544,9,1,1
7,rav,atl,0,716.91,696.9999999999999,32.300000000000004,1809,612,10,2,1
8,rav,cin,1,759.0699999999999,739.1999999999999,36.400000000000006,2048,723,12,0,0
9,rav,pit,1,847.17,827.3,39.900000000000006,2369,778,13,0,0
10,rav,oti,0,935.8299999999999,916.0,44.300000000000004,2512,845,15,1,1
12,rav,nor,1,1054.9299999999998,1035.1,51.00000000000001,2911,971,16,2,1
13,rav,sdg,0,1159.84,1140.0,54.900000000000006,3287,1035,18,0,0
14,rav,mia,1,1265.96,1246.1,60.800000000000004,3473,1098,18,1,1
15,rav,jax,0,1365.4,1345.5,64.4,3639,1180,19,2,1
16,rav,htx,1,1405.65,1385.7,66.5,3829,1303,20,0,0
17,rav,cle,0,1510.74,1490.8,71.1,3979,1412,22,1,1
4,buf,htx,1,327.67999999999995,327.7,17.4,1065,286,8,0,0
5,buf,det,1,414.44999999999993,414.5,19.599999999999998,1269,355,10,1,1
6,buf,nwe,0,505.12999999999994,505.2,22.599999999999998,1615,405,10,0,0
7,buf,min,0,597.81,597.9,28.799999999999997,1733,563,12,1,1
8,buf,nyj,1,779.55,740.7,30.9,1870,738,18,2,1
10,buf,kan,0,860.89,822.0,35.9,2021,865,19,0,0
11,buf,mia,1,929.53,890.6,38.699999999999996,2226,990,21,0,0
12,buf,nyj,0,1043.59,1004.7,42.699999999999996,2352,1082,22,1,1
13,buf,cle,0,1099.57,1060.7,46.199999999999996,2593,1156,25,2,1
14,buf,den,1,1173.36,1134.5,50.8,2766,1289,28,0,0
15,buf,gnb,0,1224.83,1186.0,54.199999999999996,2941,1447,30,1,1
16,buf,rai,1,1310.9299999999998,1272.1,55.199999999999996,3148,1587,30,0,0
17,buf,nwe,1,1415.1899999999998,1376.3999999999999,58.4,3292,1703,30,1,1
4,car,rav,1,403.96,404.0,12.799999999999999,932,563,6,0,0
5,car,chi,0,485.91999999999996,486.0,16.299999999999997,1194,648,10,1,1
6,car,cin,1,571.6999999999999,571.8,20.599999999999998,1514,841,12,0,0
7,car,gnb,1,651.03,651.0999999999999,24.9,1755,963,12,0,0
8,car,sea,0,708.42,708.4999999999999,28.599999999999998,1946,1082,14,0,0
9,car,nor,0,743.54,743.5999999999999,33.599999999999994,2216,1187,16,0,0
10,car,phi,1,805.52,805.5999999999999,36.8,2544,1224,16,0,0
11,car,atl,0,887.0,887.0999999999999,41.0,2804,1310,17,0,0
13,car,min,1,949.8,949.8999999999999,46.4,2922,1402,17,0,0
14,car,nor,1,1063.75,1063.8999999999999,53.199999999999996,3140,1494,19,1,1
15,car,tam,0,1154.27,1154.3999999999999,56.99999999999999,3276,1645,22,2,1
16,car,cle,0,1228.26,1228.3999999999999,61.599999999999994,3420,1729,23,3,1
17,car,atl,1,1332.43,1332.6,67.1,3645,1792,26,4,1
4,chi,gnb,0,378.82000000000005,378.9,16.1,1001,490,8,0,0
5,chi,car,1,471.4100000000001,471.29999999999995,20.0,1232,581,11,0,0
6,chi,atl,1,580.4000000000001,580.3,23.6,1477,623,12,1,1
7,chi,mia,0,652.5800000000002,652.5,27.3,1733,760,12,0,0
8,chi,nwe,1,748.8300000000002,748.7,33.2,2098,882,12,0,0
10,chi,gnb,1,813.0000000000001,812.9000000000001,35.5,2417,1014,13,0,0
11,chi,min,0,911.0100000000001,910.9000000000001,40.0,2564,1110,14,1,1
12,chi,tam,0,995.19,995.1000000000001,43.5,2865,1176,18,2,1
13,chi,det,1,1069.8400000000001,1069.8000000000002,45.1,3248,1267,19,0,0
14,chi,dal,0,1166.2200000000003,1166.2000000000003,47.4,3451,1461,19,0,0
15,chi,nor,0,1216.4900000000002,1216.5000000000002,53.699999999999996,3811,1544,20,0,0
16,chi,det,0,1292.2900000000002,1292.3000000000002,56.599999999999994,4040,1682,23,0,0
17,chi,min,1,1366.7100000000003,1366.7000000000003,61.3,4230,1803,24,0,0
5,cin,nwe,1,416.91,416.6,14.9,1003,560,7,0,0
6,cin,car,0,510.08000000000004,509.8,21.1,1287,707,8,0,0
7,cin,clt,1,564.1400000000001,563.9,23.8,1622,878,10,0,0
8,cin,rav,0,649.4100000000001,649.1999999999999,27.1,1809,985,12,1,1
9,cin,jax,0,728.3800000000001,728.1999999999999,32.7,2042,1117,13,2,1
10,cin,cle,0,738.69,738.4999999999999,36.6,2240,1287,14,0,0
11,cin,nor,1,888.3100000000001,882.1999999999998,41.800000000000004,2495,1362,15,1,1
12,cin,htx,1,972.8900000000001,966.7999999999998,45.00000000000001,2679,1426,16,2,1
13,cin,tam,1,1033.01,1026.8999999999999,49.00000000000001,2867,1501,17,3,1
14,cin,pit,0,1152.0,1145.8999999999999,53.10000000000001,3217,1694,17,0,0
15,cin,cle,1,1203.22,1197.1,58.50000000000001,3271,1747,19,1,1
16,cin,den,0,1296.3,1290.1999999999998,64.10000000000001,3571,1832,23,2,1
17,cin,pit,1,1377.44,1371.2999999999997,68.10000000000001,3888,1861,26,0,0
5,cle,oti,1,394.41999999999996,394.4,18.0,1077,610,4,1,1
6,cle,pit,0,506.79999999999995,506.79999999999995,22.2,1298,748,5,2,1
7,cle,jax,1,551.26,551.3,24.5,1449,933,8,0,0
8,cle,rai,0,661.53,661.5999999999999,26.1,1760,1009,11,1,1
9,cle,tam,0,743.76,743.8,28.200000000000003,2012,1122,13,2,1
10,cle,cin,1,836.06,836.0999999999999,31.500000000000004,2091,1208,17,3,1
11,cle,htx,0,895.64,895.6999999999999,34.300000000000004,2302,1421,18,0,0
12,cle,atl,1,945.79,945.9,39.900000000000006,2554,1484,20,1,1
13,cle,buf,1,1002.81,1002.9,42.7,2735,1590,22,0,0
14,cle,clt,0,1031.7,1031.8,46.300000000000004,3004,1683,26,0,0
15,cle,cin,0,1053.0,1053.1,49.400000000000006,3107,1927,27,0,0
16,cle,car,1,1119.37,1119.5,53.2,3302,2136,29,0,0
17,cle,rav,1,1170.56,1170.7,57.0,3592,2265,29,0,0
4,dal,nor,0,401.16999999999996,400.4,20.200000000000003,1085,434,8,3,1
5,dal,htx,0,498.37999999999994,497.59999999999997,24.400000000000002,1239,610,9,4,1
6,dal,sea,1,607.0999999999999,606.3,28.900000000000002,1365,690,10,5,1
7,dal,nyg,0,744.5099999999999,739.8,33.400000000000006,1613,794,12,6,1
8,dal,was,0,845.1199999999999,840.4,40.2,1899,917,13,0,0
9,dal,crd,0,899.4799999999999,894.8,43.900000000000006,2136,1019,14,0,0
10,dal,jax,1,1036.6799999999998,1032.0,48.900000000000006,2398,1090,17,1,1
12,dal,nyg,1,1190.37,1174.0,53.7,2726,1179,18,2,1
13,dal,phi,0,1240.4399999999998,1224.1,57.400000000000006,2934,1435,19,0,0
14,dal,chi,1,1380.8199999999997,1361.8,62.900000000000006,3275,1470,21,1,1
15,dal,phi,1,1507.7699999999998,1488.7,65.60000000000001,3494,1545,24,2,1
16,dal,clt,0,1714.2199999999998,1644.6000000000001,68.80000000000001,3722,1546,27,3,1
17,dal,was,1,1814.2199999999998,1744.6000000000001,75.20000000000002,4031,1650,31,4,1
5,den,crd,0,451.55,448.9,12.899999999999999,1034,353,3,1,1
6,den,nyj,1,567.4,564.6999999999999,17.099999999999998,1207,384,5,2,1
7,den,sfo,0,733.68,717.8999999999999,21.4,1455,446,6,3,1
8,den,sdg,0,857.91,842.0999999999999,26.0,1700,507,8,4,1
9,den,nwe,1,938.14,922.3,28.5,2032,573,9,0,0
10,den,rai,1,1043.37,1027.5,32.9,2224,603,12,1,1
11,den,ram,1,1117.1399999999999,1101.3,35.699999999999996,2430,734,12,0,0
12,den,mia,0,1253.6299999999999,1235.7,41.4,2646,831,13,1,1
13,den,kan,1,1338.31,1320.4,46.199999999999996,2756,872,16,2,1
14,den,buf,0,1395.19,1377.3000000000002,50.8,3097,946,19,3,1
15,den,sdg,1,1508.26,1490.4,53.699999999999996,3329,1002,21,4,1
16,den,cin,1,1569.06,1551.2,58.199999999999996,3475,1209,23,0,0
17,den,rai,0,1661.85,1644.0,62.4,3607,1276,25,1,1
4,det,nyj,1,368.3,368.3,12.7,746,323,5,2,1
5,det,buf,0,443.5,443.5,16.2,1040,372,6,0,0
6,det,min,1,523.23,523.2,19.8,1183,441,9,1,1
7,det,nor,0,607.08,607.1,22.3,1518,514,11,2,1
8,det,atl,1,685.85,685.9,24.900000000000002,1731,592,12,3,1
10,det,mia,0,776.03,776.1,28.200000000000003,1909,642,14,4,1
11,det,crd,1,837.0,837.1,33.400000000000006,2215,688,16,0,0
12,det,nwe,1,884.74,884.8000000000001,37.00000000000001,2564,778,17,0,0
13,det,chi,0,1000.06,1000.1,41.00000000000001,2820,791,19,1,1
14,det,tam,0,1131.31,1131.3,44.60000000000001,3027,817,22,2,1
15,det,min,0,1218.6599999999999,1218.7,48.20000000000001,3311,893,24,3,1
16,det,chi,1,1270.85,1270.9,53.50000000000001,3481,957,25,4,1
17,det,gnb,1,1358.5,1358.6000000000001,58.300000000000004,3706,1109,27,0,0
4,gnb,chi,1,432.6,423.59999999999997,14.0,856,704,7,1,1
5,gnb,min,0,549.08,534.1999999999999,19.6,1044,815,10,2,1
6,gnb,mia,1,647.2,632.3,23.200000000000003,1281,927,13,3,1
7,gnb,car,0,798.76,780.4,27.300000000000004,1504,1035,14,4,1
8,gnb,nor,1,890.64,872.3,32.00000000000001,1806,1228,15,0,0
10,gnb,chi,0,1046.24,1005.0,36.10000000000001,2062,1283,18,1,1
11,gnb,phi,0,1167.29,1126.1,40.50000000000001,2382,1392,22,2,1
12,gnb,min,1,1276.7,1235.5,45.300000000000004,2578,1504,23,3,1
13,gnb,nwe,0,1387.1200000000001,1345.9,49.800000000000004,2814,1588,23,4,1
14,gnb,atl,0,1509.92,1468.7,55.800000000000004,3188,1679,24,5,1
15,gnb,buf,1,1543.25,1502.0,62.400000000000006,3328,1792,25,0,0
16,gnb,tam,1,1650.54,1609.3,66.30000000000001,3421,1808,26,1,1
17,gnb,det,0,1787.59,1745.7,70.30000000000001,3623,1919,27,2,1
4,htx,buf,0,373.6,373.69999999999993,13.9,950,521,9,1,1
5,htx,dal,1,438.02000000000004,438.0999999999999,19.6,1266,661,12,0,0
6,htx,clt,0,544.45,544.4999999999999,25.3,1629,754,14,0,0
