Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,ram,clt,1,306.45,306.4,16.4,739,444,2,1,1
5,ram,phi,0,395.81,395.8,20.3,1034,603,3,0,0
6,ram,crd,0,499.11,499.1,26.7,1249,733,5,1,1
7,ram,pit,0,570.02,570.0,31.1,1463,819,5,0,0
8,ram,dal,1,640.85,640.8,34.9,1748,921,6,0,0
9,ram,gnb,1,684.45,684.4,37.5,1955,1105,8,0,0
11,ram,sea,0,754.41,754.4,40.5,2178,1173,9,1,1
12,ram,crd,1,876.32,875.5,47.4,2397,1246,9,2,1
13,ram,cle,0,986.4,985.6,52.2,2637,1333,10,3,1
14,ram,rav,1,1088.28,1087.5,56.5,2947,1472,11,0,0
15,ram,was,0,1205.14,1204.4,61.8,3165,1551,12,1,1
16,ram,nor,0,1325.48,1324.7,66.0,3469,1586,13,2,1
17,ram,nyg,1,1406.73,1405.9,70.6,3753,1691,14,3,1
18,ram,sfo,1,1504.13,1503.3,73.6,3928,1816,15,4,1
