Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
1,ram,det,1,0.0,0.0,0.0,0,0,0,0,0
2,ram,crd,1,174.41,174.5,6.3,458,394,2,0,0
3,ram,sfo,0,272.33,272.4,10.1,746,531,3,1,1
4,ram,chi,1,272.33,272.4,10.1,746,531,3,0,0
5,ram,gnb,0,272.33,272.4,10.1,746,531,3,0,0
7,ram,rai,0,272.33,272.4,10.1,746,531,3,0,0
8,ram,min,0,272.33,272.4,10.1,746,531,3,0,0
9,ram,sea,1,272.33,272.4,10.1,746,531,3,0,0
10,ram,mia,0,272.33,272.4,10.1,746,531,3,0,0
11,ram,nwe,1,272.33,272.4,10.1,746,531,3,0,0
12,ram,phi,0,272.33,272.4,10.1,746,531,3,0,0
13,ram,nor,1,272.33,272.4,10.1,746,531,3,0,0
14,ram,buf,0,272.33,272.4,10.1,746,531,3,0,0
15,ram,sfo,1,272.33,272.4,10.1,746,531,3,0,0
16,ram,nyj,1,272.33,272.4,10.1,746,531,3,0,0
17,ram,crd,0,272.33,272.4,10.1,746,531,3,0,0
18,ram,sea,0,272.33,272.4,10.1,746,531,3,0,0
