Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,sea,det,0,393.88,393.5,17.7,761,354,5,2,1
5,sea,cin,1,482.38,482.0,24.4,1071,463,7,0,0
6,sea,car,0,575.99,575.6,28.799999999999997,1319,598,9,0,0
7,sea,sfo,1,656.55,656.2,33.099999999999994,1400,659,9,1,1
8,sea,dal,1,737.8,737.4000000000001,36.699999999999996,1491,788,9,2,1
10,sea,crd,0,803.42,803.0000000000001,43.099999999999994,1825,905,12,0,0
11,sea,sfo,0,945.3,940.5000000000001,48.89999999999999,2072,964,12,1,1
12,sea,pit,0,1107.94,1087.2,52.599999999999994,2552,1022,16,2,1
13,sea,min,1,1246.93,1226.2,57.39999999999999,2646,1053,17,3,1
14,sea,rav,1,1398.13,1366.5,60.79999999999999,2920,1081,19,4,1
15,sea,cle,0,1525.3500000000001,1493.7,65.89999999999999,3056,1175,20,5,1
16,sea,ram,0,1610.0600000000002,1578.4,68.6,3159,1277,20,0,0
17,sea,crd,1,1727.9,1696.2,72.6,3364,1304,23,1,1
